Ký_tự,Pinyin,Hán_Việt,Số_cách_đọc,Tất_cả_cách_đọc
㙼,lěi,~luỹ,1,~luỹ
㙾,xì,hạc,1,hạc
㚀,xī,~hè,1,~hè
㚁,qiào,khíu,1,khíu
㚂,nàng,~nang,1,~nang
㚃,yūn,~uân,1,~uân
㚅,lóng,~lung,1,~lung
㚆,fù,~hạ,1,~hạ
㚇,zōng,~tông,1,~tông
㚉,gǔ,cổ,1,cổ
㚊,kāi,khai,1,khai
㚋,diāo,điêu,1,điêu
㚌,huà,~thoại,1,~thoại
㚍,kuǐ,~khuể,1,~khuể
㚏,gǎo,cảo,1,cảo
㚐,tào,~sáo,1,~sáo
㚒,shǎn,thiểm,1,thiểm
㚓,lǎi,lai,1,lai
㚔,niè,~niếp,1,~niếp
㚕,fú,~phù,1,~phù
㚖,gǎo,cảo,1,cảo
㚗,qié,tà,1,tà
㚘,bàn,~bận,1,~bận
㚚,kōng,~không,1,~không
㚛,xì,~khích,1,~khích
㚜,yù,vực,1,vực
㚝,zhuī,~duì,1,~duì
㚞,shěn,thẩm,1,thẩm
㚟,chuò,~xước,1,~xước
㚠,xiāo,~tiêu,1,~tiêu
㚡,jǐ,kỉ,1,kỉ
㚢,nú,~nô,1,~nô
㚣,xiáo,giảo,1,giảo
㚤,yì,~ế,1,~ế
㚥,yú,~ngu,1,~ngu
㚦,yí,~dì,1,~dì
㚧,yǎn,~yểm,1,~yểm
㚨,shěn,~thím,1,~thím
㚩,rǎn,~nhiễm,1,~nhiễm
㚪,hào,hao,1,hao
㚫,sà,~táp,1,~táp
㚬,jūn,quân,1,quân
㚭,yóu,~du,1,~du
㚮,nán,nản,1,nản
㚯,xín,~đàm,2,~đàm / ~tầm
㚯,xún,~tầm,2,~đàm / ~tầm
㚰,pēi,phôi,1,phôi
㚱,qiū,~thu,1,~thu
㚲,chān,~sọm,1,~sọm
㚳,pī,phi,1,phi
㚴,bù,~bộ,1,~bộ
㚵,dōng,đông,1,đông
㚶,sì,tự,1,tự
㚷,ěr,~nhĩ,1,~nhĩ
㚸,chǐ,thị,1,thị
㚹,mǎo,~mão,1,~mão
㚺,yùn,~uẩn,1,~uẩn
㚻,jī,~cơ,1,~cơ
㚼,niǔ,nữu,1,nữu
㚽,qiǎo,khảo,1,khảo
㚾,xiōng,~hung,1,~hung
㚿,páo,~bào,1,~bào
㛀,chú,trâu,2,trâu / ~trâu
㛀,chú,~trâu,2,trâu / ~trâu
㛁,pēng,~phanh,1,~phanh
㛂,nuǒ,~na,1,~na
㛃,jié,~tiệp,1,~tiệp
㛄,yī,~y,1,~y
㛅,èr,nhị,1,nhị
㛆,duò,~đoạ,1,~đoạ
㛊,duǒ,~đoá,1,~đoá
㛍,qiè,~thiếp,1,~thiếp
㛎,lǚ,~lũ,1,~lũ
㛏,qiú,cầu,1,cầu
㛐,sǒu,tẩu,1,tẩu
㛑,càn,xán,1,xán
㛒,dòu,~đậu,1,~đậu
㛓,xī,~hi,1,~hi
㛔,fēng,phong,1,phong
㛕,yì,~ế,1,~ế
㛖,suō,~sa,1,~sa
㛗,qiē,~thiết,1,~thiết
㛘,pò,~phách,1,~phách
㛙,xīn,~tân,1,~tân
㛚,tǒng,thống,1,thống
㛛,xìn,~tín,1,~tín
㛜,yóu,~du,1,~du
㛝,bèi,~bối,1,~bối
㛞,lòng,~lỏng,1,~lỏng
㛣,yún,~vân,1,~vân
㛥,tà,~đạp,1,~đạp
㛦,lǎn,lẫm,1,lẫm
㛧,mǎn,~mãn,1,~mãn
㛨,qiǎng,~cưỡng,1,~cưỡng
㛩,zhóu,~dâu,1,~dâu
㛪,yàn,em,1,em
㛫,xī,~hi,1,~hi
㛬,lù,lục,1,lục
㛭,xī,~hi,1,~hi
㛮,sǎo,tẩu,1,tẩu
㛯,fàn,~phiến,1,~phiến
㛰,hūn,hôn,1,hôn
㛱,wěi,~vãi,1,~vãi
㛲,fà,~pháp,1,~pháp
㛳,yì,~ế,1,~ế
㛴,nǎo,~não,1,~não
㛵,chēng,~xưng,1,~xưng
㛶,tàn,thán,1,thán
㛷,jī,kê,1,kê
㛸,shù,thụ,1,thụ
㛹,pián,~bền,1,~bền
㛺,ān,~am,1,~am
㛻,kuā,~khoa,1,~khoa
㛼,chā,~xoa,1,~xoa
㛽,áo,san,1,san
㛾,xián,hàm,1,hàm
㛿,zhì,~chất,1,~chất
㜂,fēng,phong,1,phong
㜃,liàn,luyến,1,luyến
㜄,xún,~tầm,1,~tầm
㜅,xù,nháo,1,nháo
㜆,mì,~mịch,1,~mịch
㜇,huì,~hối,1,~hối
㜈,mù,mục,1,mục
㜉,yōng,~ung,1,~ung
㜊,zhǎn,~triển,1,~triển
㜋,yì,~ế,1,~ế
㜌,nǒu,~vú,1,~vú
㜍,táng,đường,1,đường
㜎,xī,~hi,1,~hi
㜏,yún,~vân,1,~vân
㜐,shù,thụ,1,thụ
㜑,fú,bà,1,bà
㜒,yì,~ế,1,~ế
㜓,dá,đáp,1,đáp
㜕,lián,~liêm,1,~liêm
㜖,cáo,tào,1,tào
㜗,cān,~xan,1,~xan
㜘,jù,~cự,1,~cự
㜙,lù,lục,1,lục
㜚,sù,túc,1,túc
㜛,nèn,~non,1,~non
㜜,ào,ngạo,1,ngạo
㜝,ǎn,~an,1,~an
㜞,qiàn,~tiệm,1,~tiệm
㜠,cuī,~thôi,1,~thôi
㜡,cōng,~thông,1,~thông
㜢,lǚ,lũ,1,lũ
㜣,rán,~nhiên,1,~nhiên
㜤,niǎn,~niễn,1,~niễn
㜥,mái,mai,1,mai
㜦,xín,~đàm,1,~đàm
㜧,yuè,~dược,1,~dược
㜨,nái,~nai,1,~nai
㜩,ào,áo,1,áo
㜪,shēn,~thần,1,~thần
㜫,mà,~mạ,1,~mạ
㜮,làn,~lạn,1,~lạn
㜯,xī,~hi,1,~hi
㜰,yuè,~dược,1,~dược
㜱,zhì,chất,1,chất
㜲,wěng,~ổng,1,~ổng
㜳,huái,~hoài,1,~hoài
㜴,mèng,~mộng,1,~mộng
㜵,niǎo,~niệu,1,~niệu
㜶,wǎn,~uyển,1,~uyển
㜷,mí,~mi,1,~mi
㜸,niè,~nghiệt,1,~nghiệt
㜹,qú,cù,1,cù
㜺,zàn,~tán,1,~tán
㜻,liàn,luyến,1,luyến
㜼,zhí,~đẹt,1,~đẹt
㜽,zǐ,chỉ,1,chỉ
㜾,hái,hài,1,hài
㜿,xù,~tự,1,~tự
㝀,hào,~hạo,1,~hạo
㝁,xuān,~huyên,1,~huyên
㝂,zhì,~chí,1,~chí
㝃,miǎn,~miễn,1,~miễn
㝄,chún,thuần,1,thuần
㝅,gòu,~cấu,1,~cấu
㝇,chún,thuần,1,thuần
㝈,luán,loan,1,loan
㝉,zhù,trữ,1,trữ
㝊,shǒu,~thủ,1,~thủ
㝌,jiù,~cứu,1,~cứu
㝍,xiě,tả,1,tả
㝎,dìng,~định,1,~định
㝏,jiè,giới,1,giới
㝐,róng,~dung,1,~dung
㝑,máng,bàng,1,bàng
㝒,jū,cư,1,cư
㝓,kè,~khách,1,~khách
㝔,yǎo,~yểu,1,~yểu
㝕,níng,~trữ,1,~trữ
㝖,yí,~di,1,~di
㝗,láng,~lang,1,~lang
㝘,yóng,~ngong,1,~ngong
㝙,yín,~dần,1,~dần
㝛,sù,túc,1,túc
㝜,xuān,tuyên,1,tuyên
㝝,lín,lâm,1,lâm
㝞,yā,nha,1,nha
㝟,máo,~mao,1,~mao
㝠,míng,minh,1,minh
㝡,zuì,~tuy,1,~tuy
㝢,yǔ,~vũ,1,~vũ
㝣,yì,ế,1,ế
㝤,gòu,~cấu,1,~cấu
㝥,mǐ,~mễ,1,~mễ
㝦,jùn,tuấn,1,tuấn
㝧,wěn,ùn,1,ùn
㝩,kāng,khai,1,khai
㝪,diàn,~điếm,1,~điếm
㝫,lóng,~lung,1,~lung
㝭,xǐng,tỉnh,1,tỉnh
㝮,cuì,~thuý,1,~thuý
㝯,qiáo,kiều,1,kiều
㝰,mián,miên,1,miên
㝱,mèng,mộng,1,mộng
㝲,qǐn,tẩm,1,tẩm
㝴,wán,~hoàn,1,~hoàn
㝵,dé,đức,1,đức
㝶,ài,đức,1,đức
㝸,biàn,biện,1,biện
㝹,nóu,~nâu,1,~nâu
㝺,lián,liêm,1,liêm
㝻,jǐn,~cận,1,~cận
㝼,yū,~u,1,~u
㝽,chuí,~thùy,1,~thùy
㝾,zuǒ,trở,1,trở
㝿,bǒ,~bá,1,~bá
㞀,huī,~huy,1,~huy
㞁,yào,~diệu,1,~diệu
㞂,tuǐ,thoái,1,thoái
㞃,jì,~kế,1,~kế
